complex,simple,source
"Die Leichte Sprache nimmt den Inhalt ernst, aber nicht schwer. Das kann erhellend sein. Hier die Übersetzung einiger Passagen aus einer Stellenausschreibung von Ottocoms für Manager w/m/d für Communication Controlling & Digital Analytics von Ende September 2020.","Wir suchen dich als Manager*in Communication Controlling & Digital Analytics bei #Ottocomms, um die Unternehmenskommunikation von Otto auf allen Kanälen wirkungsvoller, zielgruppenaffin und mit dem passenden Content auftreten zu lassen. Du machst Dinge gerne messbar, verfügst über erprobte analytische Fähigkeiten und ein tiefgreifendes Verständnis für Social Media? Perfekt!",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/die-neue-konsumgesellschaft/erst-mal-darfst-du-nur-ein-jahr-fest-bei-uns-arbeiten
Willst du bei der Firma Otto arbeiten?,"Wir suchen jemanden für die „Unternehmens·Kommunikation“.
Diese Abteilung organisiert das Gespräch mit unseren Kunden.
Bei der Firma Otto heißt diese Abteilung „Ottocomms“.
Du kennst dich gut bei Facebook, Instagram und Twitter aus?
Sachen messen und verstehen macht dir Spaß?
Dann solltest du dich bei uns bewerben.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/die-neue-konsumgesellschaft/erst-mal-darfst-du-nur-ein-jahr-fest-bei-uns-arbeiten
"Dich erwartet ein vielfältiges Team von Kommunikationsspezialist*innen, das mit viel Leidenschaft und Herzblut alle Botschaften, Themen und Geschichten von Otto jeden Tag aufs Neue recherchiert, redaktionell aufbereitet und gestaltet. (…)","Wir sind eine bunte Mischung aus Leuten.
Wir sind Männer oder Frauen oder anders.
Das Sternchen heißt: Das ist egal für deine Arbeit bei uns.
Wir erzählen den Kunden jeden Tag Geschichten von Otto.
Das machen wir richtig gern.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/die-neue-konsumgesellschaft/erst-mal-darfst-du-nur-ein-jahr-fest-bei-uns-arbeiten
"Mit qualitativen und quantitativen Analysen bringst du Klarheit in Daten (Social Media, Web) und leitest daraus Handlungsempfehlungen für die Gestaltung unserer Kommunikation ab.","Du sollst bei uns die Daten im Internet verstehen.
Zum Beispiel auf Facebook oder auf unserer Internet-Seite.
Dann sollst du uns sagen: Das müsst ihr jetzt machen.
Und du sollst uns sagen: So müsst ihr es machen.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/die-neue-konsumgesellschaft/erst-mal-darfst-du-nur-ein-jahr-fest-bei-uns-arbeiten
"Du entwickelst Zielvorgaben und berätst bei der konzeptionellen Ausarbeitung von Content Strategien (Wirkung von Content bei der Zielgruppe, Trendmonitoring, Krisenmonitoring, (…) Wettbewerberanalyse, etc.). (…)",Du hast ein wachsames Auge auf den Markt und auf neue Trends rund um soziale Medien.,https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/die-neue-konsumgesellschaft/erst-mal-darfst-du-nur-ein-jahr-fest-bei-uns-arbeiten
"Du sollst sagen: Das ist unser Ziel und so erreichen wir es.
Das sollst du dabei im Blick haben:
– Wie kommen die Geschichten bei den Kunden an?
– Veränderungen, Probleme und andere Firmen.
– Was tut sich in unserem Geschäft und bei den Kunden?
– Gibt es Veränderungen bei Facebook oder Instagram?",Die vorläufige Befristung von einem Jahr siehst du als Chance. (…),https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/die-neue-konsumgesellschaft/erst-mal-darfst-du-nur-ein-jahr-fest-bei-uns-arbeiten
"Erst mal darfst du nur ein Jahr fest bei uns arbeiten.
Das sollst du gut finden.","Must-have: (…) Du kannst gut mit Buchstaben, Zahlen liegen dir aber noch mehr. (…) Du teilst deine Expertise gerne, bist Teamplayer*in und arbeitest sowohl gerne mal alleine an eigenen Projekten, als auch gemeinsam mit anderen an übergreifenden Themen. (…)",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/die-neue-konsumgesellschaft/erst-mal-darfst-du-nur-ein-jahr-fest-bei-uns-arbeiten
"Der Ausdruck „Milch“ ist ausschließlich dem durch ein- oder mehrmaliges Melken gewonnenen Erzeugnis der normalen Eutersekretion, ohne jeglichen Zusatz oder Entzug, vorbehalten. (…)","Milch muss immer durch „Melken“ aus dem „Euter“ kommen.
Das Euter ist die Brust von den weiblichen Tieren.
Melken ist wenn man die Milch aus dem Euter holt.
Die Milch darf man nach dem Melken nicht verändern.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/leistung/man-darf-auch-nicht-so-tun-als-waere-es-ein-milch-erzeugnis
"„Milcherzeugnisse“ im Sinne dieses Teils sind ausschließlich aus Milch gewonnene Erzeugnisse, wobei jedoch für die Herstellung erforderliche Stoffe zugesetzt werden können, sofern diese nicht verwendet werden, um einen der Milchbestandteile vollständig oder teilweise zu ersetzen.","„Milch·Erzeugnisse“ sind Produkte aus Milch.
Man darf Milch·Erzeugnisse nur aus Milch machen.
Man darf aber auch bestimmte Sachen dazumischen.
Aber nur wenn es sein muss.
Diese Sachen dürfen nicht die Milch ersetzen.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/leistung/man-darf-auch-nicht-so-tun-als-waere-es-ein-milch-erzeugnis
"Folgende Bezeichnungen sind ausschließlich Milcherzeugnissen vorbehalten: (…) Butter, (…) Käse, (…) Joghurt (…)","Viele verschiedene Produkte sind Milch·Erzeugnisse:
Zum Beispiel Butter oder Käse oder Joghurt.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/leistung/man-darf-auch-nicht-so-tun-als-waere-es-ein-milch-erzeugnis
"Bei Milch ist, falls es sich nicht um Kuhmilch handelt, die Tierart des Ursprungs anzugeben. (…)","Manchmal ist die Milch nicht von einer Kuh.
Dann muss man sagen von welchem Tier die Milch ist.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/leistung/man-darf-auch-nicht-so-tun-als-waere-es-ein-milch-erzeugnis
Die Bezeichnungen (…) dürfen nur für die (…) betreffenden (…) Erzeugnisse verwendet werden.,"Man darf nur bestimmte Produkte Milch·Erzeugnis nennen.
Andere Produkte darf man nicht Milch·Erzeugnis nennen.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/leistung/man-darf-auch-nicht-so-tun-als-waere-es-ein-milch-erzeugnis
"Dies gilt jedoch nicht für Erzeugnisse, deren Art aufgrund ihrer traditionellen Verwendung genau bekannt ist, und /oder wenn die Bezeichnungen eindeutig zur Beschreibung einer charakteristischen Eigenschaft des Erzeugnisses verwandt werden.","Manchmal darf man auch andere Produkte so nennen.
Dann ist das eine Ausnahme.
Zum Beispiel wenn ein Produkt schon immer so heißt.
Oder wenn der Name das Produkt klar beschreibt.
Zum Beispiel ein „Käse“-Messer.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/leistung/man-darf-auch-nicht-so-tun-als-waere-es-ein-milch-erzeugnis
"Bei anderen (…) Erzeugnissen darf nicht durch Etikett, Handelsdokumente, Werbematerial, Werbung irgendwelcher Art im Sinne des Artikels 2 der Richtlinie 2006 / 114 / EG des Europäischen Parlaments und des Rates (34) oder Aufmachung irgendwelcher Art behauptet oder der Eindruck erweckt werden, dass es sich bei dem betreffenden Erzeugnis um ein Milcherzeugnis handelt. ","Aber alles andere darf man nicht Milch·Erzeugnis nennen.
Nicht auf der Verpackung.
Nicht in der Werbung.
Nirgends.
Man darf auch nicht so tun als wäre es ein Milch·Erzeugnis.
Es ist dann kein Milch·Erzeugnis.
Und dann darf man es auch nicht so nennen.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/leistung/man-darf-auch-nicht-so-tun-als-waere-es-ein-milch-erzeugnis
"Die Leichte Sprache nimmt den Inhalt ernst, aber nicht schwer. Das kann erhellend sein. Hier die Übersetzung einiger Passagen eines Briefs der Grundstücksverwaltung der Wohnanlage Othmarscher Kirchenweg 6 + 8 + 8a mit der Aufforderung zur „Entfernung privater Spielplatzgeräte“ vom 20. Juli 2020.",Einwurf durch Hausmeister (…),https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neuer-generationenvertrag/andere-leute-duerfen-damit-nicht-schaukeln-oder-huepfen
Der Hausmeister hat den Brief in den Brief·Kasten geworfen.,An die Bewohnerinnen und Bewohner der Wohnanlage Othmarscher Kirchenweg 6 + 8 + 8a (…),https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neuer-generationenvertrag/andere-leute-duerfen-damit-nicht-schaukeln-oder-huepfen
Der Brief geht an alle Leute von dieser Adresse: Othmarscher Kirchenweg 6 + 8 + 8a,Entfernung privater Spielplatzgeräte,https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neuer-generationenvertrag/andere-leute-duerfen-damit-nicht-schaukeln-oder-huepfen
Die Spiel·Sachen müssen weg.,"Sehr geehrte Bewohnerinnen und Bewohner,",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neuer-generationenvertrag/andere-leute-duerfen-damit-nicht-schaukeln-oder-huepfen
Liebe Leute vom Othmarscher Kirchenweg 6 + 8 + 8a! ,"bezugnehmend auf die oben genannte Angelegenheit, teilte uns der TÜV Nord Systeme GmbH & Co. KG mit, dass auf der öffentlichen Spielplatzfläche private Spielgeräte, wie ein Trampolin, Holzpferd etc., aufgebaut stehen. Diese erfüllen nicht die DIN EN 1176 und sind für den öffentlichen gebrauch nicht geeignet und müssen abgebaut werden. Dies ist eine Aufforderung vom TÜV Nord Systeme GmbH & Co. KG.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neuer-generationenvertrag/andere-leute-duerfen-damit-nicht-schaukeln-oder-huepfen
"Die Firma „TÜV Nord Systeme“ hat uns gesagt:
Auf dem Spiel·Platz stehen eigene Spiel·Sachen von Leuten.
Zum Beispiel ein Pferd aus Holz zum Schaukeln.
Und ein Trampolin zum Hüpfen. Und noch mehr.
Aber diese Spiel·Sachen sind nicht sicher.
Andere Leute dürfen damit nicht schaukeln oder hüpfen.
Das ist zu gefährlich.
Deswegen müssen jetzt alle Spiel·Sachen weg.","Der Eigentümer / Die Eigentümer des Spielgerätes / der Spielgeräte (Trampolin, Holzpferd, etc.) muss / müssen bitte die Spielgeräte innerhalb von 7 Tagen (…)",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neuer-generationenvertrag/andere-leute-duerfen-damit-nicht-schaukeln-oder-huepfen
"Gehören die Spiel·Sachen dir?
Dann musst du die Spiel·Sachen weg·räumen.
Zum Beispiel das Pferd aus Holz und das Trampolin.
In einer Woche muss alles weg sein.","abbauen. Der TÜV Nord Systeme GmbH und Co. KG wird eine Nachkontrolle vornehmen. Sollten (…) dadurch weitere Kosten entstehen, werden die Kosten dem Eigentümer / den Eigentümern des Spielgerätes weiterbelastet. Für die Nachkontrolle (Prüfung) werden Gebühren in jedem Fall anfallen. Die Betroffenen Bewohner fordern wir auf, bis zur vorgenannten Frist, mit uns der Verwaltung Kontakt aufzunehmen.",https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neuer-generationenvertrag/andere-leute-duerfen-damit-nicht-schaukeln-oder-huepfen
"Die Firma „TÜV Nord Systeme“ kontrolliert das dann wieder.
Dann schaut sich die Firma den Spiel·Platz genau an:
Sind wirklich alle Spiel·Sachen von den Leuten weg?
Vielleicht kostet das dann extra Geld.
Das muss dann der Besitzer von den Spiel·Sachen zahlen.
Die Kontrolle kostet auf jeden Fall Geld.
Gehören die Spiel·Sachen dir?
Dann musst du uns anrufen oder du musst uns schreiben.", ,https://www.brandeins.de/magazine/brand-eins-wirtschaftsmagazin/2020/neuer-generationenvertrag/andere-leute-duerfen-damit-nicht-schaukeln-oder-huepfen
